,ch_n,ch_e,station_name,lat,lon,commune_id,name,canton
762,1186189.1509999998,2692463.334,Erstfeld,46.820433335299995,8.650343978150001,1206.0,Erstfeld,UR
763,1144257.121,2707664.6339999996,Lavorgo,46.441007895,8.839701876889999,5072.0,Faido,TI
764,1134536.011,2718187.152,Biasca,46.351804137399995,8.97412446609,5281.0,Biasca,TI
765,1120472.403,2723672.335,Castione-Arbedo,46.2243313852,9.04163533099,5001.0,Arbedo-Castione,TI
766,1117194.904,2722758.673,Bellinzona,46.195021646,9.028934974550001,5002.0,Bellinzona,TI
767,1114808.642,2720873.104,Giubiasco,46.1739012487,9.00389794647,5002.0,Bellinzona,TI
768,1099782.79,2715619.785,Lamone-Cadempino,46.0396823413,8.93218249092,5189.0,Lamone,TI
769,1095945.509,2716830.619,Lugano,46.0049620741,8.94686688288,5192.0,Lugano,TI
770,1094189.737,2716841.15,Lugano-Paradiso,45.989169194,8.946567146389999,5210.0,Paradiso,TI
771,1078445.253,2721669.165,Balerna,45.8467179487,9.004803528210001,5242.0,Balerna,TI
772,1076871.005,2723710.691,Chiasso,45.832190357200005,9.03066417543,5250.0,Chiasso,TI
773,1076876.1509999998,2723769.75,Chiasso,45.8322258529,9.03142533374,5250.0,Chiasso,TI
774,1213417.442,2673710.45,Merlischachen,47.0676785037,8.409031847849999,1331.0,Küssnacht (SZ),SZ
775,1215177.156,2675531.81,Kussnacht am Rigi,47.0833007091,8.43330120502,1331.0,Küssnacht (SZ),SZ
776,1211438.1509999998,2671759.511,Meggen,47.0500902029,8.38303662098,1063.0,Meggen,LU
777,1215175.797,2675530.7430000002,Kussnacht am Rigi,47.083288607600004,8.4332869285,1331.0,Küssnacht (SZ),SZ
778,1211826.078,2668280.423,Luzern Verkehrshaus,47.0539468021,8.33731191717,1061.0,Luzern,LU
779,1210870.34,2671089.485,Meggen Zentrum,47.0450552836,8.37413037545,1063.0,Meggen,LU
780,1246892.9479999999,2642416.815,Schonenwerd SO,47.3715118159,8.00022010988,2583.0,Schönenwerd,SO
781,1245185.9109999998,2640791.859,Daniken,47.3562611006,7.9785511501399995,2572.0,Däniken,SO
782,1266204.808,2611287.018,Basel SBB,47.5464688522,7.58855226872,2701.0,Basel,BS
783,1266111.405,2611228.952,Basel SBB,47.5456297999,7.587778608480001,2701.0,Basel,BS
784,1266134.8020000001,2611490.839,Basel SBB,47.5458357222,7.59125790958,2701.0,Basel,BS
785,1266113.014,2611229.821,Basel SBB,47.5456442561,7.587790191989999,2701.0,Basel,BS
786,1266109.666,2611228.039,Basel SBB,47.5456141754,7.58776643725,2701.0,Basel,BS
787,1266380.697,2611226.224,Basel SBB,47.5480517867,7.58774913175,2701.0,Basel,BS
